client_id,investment_date,asset_class,investment_amount,return_pct,investment_value
C01052,2022-10-18,Crypto,1424917.63,0.1312,1611866.82
C04504,2011-09-14,Real Estate,2513892.44,-0.1363,2171248.9
C04323,2021-08-09,Crypto,258342.28,0.3189,340727.63
C01736,2020-02-04,Bonds,1198569.89,-0.0495,1139240.68
C02554,2016-12-12,Real Estate,725329.47,0.2499,906589.3
C03589,2019-08-10,Crypto,1211034.3,0.0763,1303436.22
C00992,2013-07-23,Bonds,3361005.6,-0.3077,2326824.18
C00525,2015-08-01,Stocks,3641353.53,0.4666,5340409.09
C04820,2020-06-03,Bonds,1839547.88,0.7826,3279178.05
C04821,2012-12-09,Stocks,2679337.65,0.7762,4759039.53
C00582,2023-11-16,Stocks,452358.56,-0.1667,376950.39
C01876,2009-07-06,Stocks,933406.03,0.5416,1438938.74
C02707,2009-08-03,Mutual Funds,204834.93,0.9333,396007.37
C01950,2014-03-31,Crypto,83922.56,0.5168,127293.74
C01756,2020-02-04,Bonds,2560953.2,0.4045,3596858.77
C04678,2020-12-03,Crypto,872657.78,-0.5314,408927.44
C01991,2018-08-10,Crypto,3454997.75,0.3903,4803483.37
C01560,2010-02-11,Stocks,688467.2,-0.0005,688122.97
C03532,2015-12-12,Crypto,1705990.69,-0.0984,1538121.21
C03368,2018-06-22,Stocks,3300260.25,0.3581,4482083.45
C00807,2009-05-11,Crypto,4086293.78,0.7619,7199641.01
C02780,2010-06-14,Bonds,1210019.6,1.3496,2843062.05
C01570,2012-04-07,Mutual Funds,466420.74,-0.64,167911.47
C03676,2011-02-22,Crypto,1746698.66,0.6754,2926418.93
C01504,2014-03-31,Crypto,3630052.44,0.3888,5041416.83
C02047,2009-09-09,Crypto,421615.69,0.6885,711898.09
C04509,2010-03-13,Stocks,808981.94,0.1931,965196.35
C04429,2008-04-30,Stocks,46976.06,0.5037,70637.9
C01937,2011-09-24,Crypto,508256.24,0.1674,593338.33
C03979,2018-10-18,Bonds,3459784.09,-0.5284,1631634.18
C03286,2009-04-25,Bonds,3260154.34,0.4473,4718421.38
C03105,2008-01-18,Crypto,1187008.19,-0.3972,715528.54
C02173,2018-03-16,Real Estate,1627673.09,0.465,2384541.08
C03466,2023-08-16,Mutual Funds,4246267.83,0.7142,7278952.31
C03987,2011-06-22,Bonds,3288406.85,-0.3538,2124968.51
C02431,2012-11-18,Stocks,1839211.3,0.1529,2120426.71
C04745,2024-07-02,Mutual Funds,1326746.64,0.5193,2015726.17
C00500,2024-10-10,Real Estate,3156061.99,-0.0398,3030450.72
C00469,2009-02-14,Mutual Funds,3974261.71,1.4472,9725813.26
C03906,2019-04-12,Mutual Funds,2463095.95,0.1269,2775662.83
C01290,2009-04-10,Mutual Funds,977019.7,-0.4015,584746.29
C00657,2012-03-02,Stocks,122555.52,0.5686,192240.59
C04875,2009-07-10,Bonds,3227716.01,0.0179,3285492.13
C03308,2010-09-09,Mutual Funds,4833307.44,0.4502,7009262.45
C02017,2020-12-25,Mutual Funds,4818136.27,-0.1462,4113724.75
C00326,2021-11-21,Stocks,1926103.55,0.4685,2828483.06
C03435,2022-09-29,Mutual Funds,4255832.22,-0.383,2625848.48
C04631,2019-09-22,Real Estate,2784449.51,-0.1765,2292994.17
C02137,2012-07-31,Real Estate,4680837.72,0.395,6529768.62
C01956,2013-12-15,Crypto,486785.29,0.9615,954829.35
C01073,2023-01-24,Real Estate,3075421.13,0.6087,4947429.97
C03746,2015-02-03,Stocks,3704102.32,0.1057,4095625.94
C00077,2018-04-12,Mutual Funds,3485381.69,-0.3995,2092971.7
C04613,2010-03-30,Stocks,1468665.63,0.771,2601006.83
C04405,2012-10-12,Mutual Funds,4046996.42,0.2322,4986708.99
C02173,2010-12-21,Real Estate,4566289.52,0.2086,5518817.51
C00564,2013-06-24,Real Estate,2557200.65,0.7987,4599636.81
C02335,2011-07-16,Crypto,3250169.69,0.0837,3522208.89
C04451,2023-10-12,Real Estate,3510132.42,0.1961,4198469.39
C04334,2008-03-05,Mutual Funds,1690637.79,0.1681,1974834.0
C02453,2022-11-17,Stocks,1878539.18,0.1625,2183801.8
C01101,2013-12-06,Stocks,180675.43,-0.348,117800.38
C00877,2024-08-25,Mutual Funds,2328524.49,-0.8142,432639.85
C01274,2014-02-09,Real Estate,2954575.47,0.2587,3718924.14
C04955,2012-09-21,Real Estate,153470.75,-0.3666,97208.37
C01668,2023-06-02,Real Estate,2611694.06,-0.0874,2383432.0
C04141,2018-12-16,Real Estate,3850197.77,0.3548,5216247.94
C00417,2010-01-26,Crypto,427651.98,-0.5554,190134.07
C02267,2008-12-27,Stocks,259356.92,1.2745,589907.31
C02733,2010-12-07,Real Estate,3187512.08,1.0017,6380442.93
C01324,2024-08-16,Crypto,3630730.58,0.0876,3948782.58
C04520,2023-10-29,Crypto,1615459.41,0.301,2101712.69
C04595,2008-03-20,Stocks,3976135.79,-0.1422,3410729.28
C00617,2023-07-01,Bonds,393203.45,-0.7546,96492.13
C04470,2008-10-22,Real Estate,127728.37,-0.3059,88656.26
C04772,2020-05-23,Bonds,867298.31,0.9107,1657146.88
C03521,2010-11-10,Stocks,783028.78,0.2389,970094.36
C02526,2016-03-06,Stocks,3573265.02,-0.7261,978717.29
C02932,2012-09-16,Bonds,3301326.69,0.2686,4188063.04
C00843,2015-12-07,Mutual Funds,3058992.01,0.9057,5829521.07
C03330,2021-12-02,Bonds,2098580.71,-0.2854,1499645.78
C01940,2011-08-24,Bonds,3789472.71,-0.56,1667367.99
C03378,2008-07-22,Bonds,72953.05,-0.0387,70129.77
C02722,2017-03-26,Bonds,490072.97,1.016,987987.11
C02186,2011-07-28,Stocks,2458587.76,-0.5675,1063339.21
C03134,2008-11-13,Crypto,2169824.39,0.0274,2229277.58
C01823,2012-06-22,Crypto,1993125.17,0.8515,3690271.25
C02865,2014-11-05,Bonds,227474.74,0.7416,396170.01
C01827,2008-07-12,Bonds,1873688.46,0.1093,2078482.61
C03265,2015-05-13,Real Estate,4282592.72,1.254,9652963.99
C00569,2014-04-05,Real Estate,3293809.46,-0.0212,3223980.7
C04174,2016-12-18,Mutual Funds,2929292.13,0.1104,3252685.98
C02713,2008-08-14,Stocks,4701210.98,-0.8687,617269.0
C02140,2012-01-02,Mutual Funds,3216797.8,0.7203,5533857.26
C02175,2008-11-09,Stocks,2291806.2,0.4234,3262156.95
C04888,2017-09-29,Real Estate,1931127.09,0.1155,2154172.27
C02570,2017-10-14,Mutual Funds,4805991.63,-0.1632,4021653.8
C04190,2010-08-05,Crypto,1595559.18,0.1838,1888822.96
C04724,2012-04-06,Real Estate,4224531.68,-0.2311,3248242.41
C00364,2023-11-24,Crypto,3483989.09,-0.0977,3143603.36
C00014,2019-08-30,Mutual Funds,3145085.29,0.261,3965952.55
C01615,2016-03-02,Crypto,4017601.17,0.3707,5506925.92
C00574,2022-11-24,Real Estate,1410890.83,0.3559,1913026.88
C02572,2022-11-17,Stocks,4034366.86,-0.2751,2924512.54
C02461,2019-05-17,Real Estate,4952535.2,-0.8138,922162.05
C03346,2015-04-26,Crypto,3882288.39,-0.5303,1823510.86
C02423,2020-06-07,Bonds,1704676.9,0.8564,3164562.2
C01572,2017-06-06,Crypto,3772959.83,-0.1398,3245500.05
C01426,2021-10-21,Mutual Funds,516516.22,0.0861,560988.27
C02466,2017-02-08,Mutual Funds,4132460.87,0.5455,6386718.27
C00004,2014-10-25,Real Estate,1600927.96,-0.0396,1537531.21
C01722,2017-08-22,Mutual Funds,55177.42,0.507,83152.37
C04970,2022-09-07,Real Estate,4527004.5,-0.0555,4275755.75
C03810,2017-11-28,Crypto,4750359.77,-0.2265,3674403.28
C01751,2019-06-19,Crypto,4753085.13,1.0362,9678231.94
C01391,2022-10-11,Stocks,2242779.16,0.6126,3616705.67
C02325,2019-07-24,Mutual Funds,1466760.65,0.6825,2467824.79
C02746,2010-02-04,Bonds,3762120.27,-0.5183,1812213.33
C02543,2013-01-14,Bonds,3958103.64,-0.2696,2890998.9
C01208,2008-07-19,Stocks,2748094.88,0.0756,2955850.85
C02006,2018-08-28,Mutual Funds,2208210.98,-0.0745,2043699.26
C00597,2018-03-19,Crypto,586218.02,0.4819,868716.48
C04716,2012-05-11,Crypto,715815.42,0.3869,992764.41
C04050,2016-12-17,Bonds,506512.26,0.7589,890904.41
C01209,2022-09-18,Stocks,421449.92,-0.1367,363837.72
C00874,2017-07-14,Bonds,4109478.44,0.1819,4856992.57
C01441,2023-08-10,Mutual Funds,3531504.89,0.6572,5852409.9
C03806,2009-02-15,Mutual Funds,4736295.64,-0.1587,3984645.52
C02042,2010-09-21,Crypto,4930019.32,-0.2521,3687161.45
C01093,2018-06-03,Mutual Funds,418420.08,0.7601,736461.18
C04579,2021-05-09,Real Estate,3885957.43,-0.9385,238986.38
C03626,2021-09-27,Mutual Funds,4531865.57,0.865,8451929.29
C03496,2020-04-15,Crypto,556876.21,-0.0712,517226.62
C01304,2024-09-05,Crypto,2343834.55,0.0777,2525950.49
C03687,2013-10-24,Bonds,282460.08,0.7156,484588.51
C02272,2019-09-10,Crypto,2917260.46,0.4654,4274953.48
C01960,2014-02-27,Crypto,4810900.57,-0.6428,1718453.68
C00635,2024-01-02,Real Estate,4343127.04,-0.3421,2857343.28
C01921,2014-02-03,Real Estate,1118755.6,0.1148,1247188.74
C02620,2020-02-11,Stocks,4964831.02,0.5718,7803721.4
C01134,2011-05-20,Bonds,369909.03,0.3168,487096.21
C03138,2023-07-25,Bonds,2615966.12,0.1072,2896397.69
C01753,2009-06-10,Crypto,3147363.79,-0.136,2719322.31
C03340,2015-06-03,Mutual Funds,3138162.84,1.01,6307707.31
C03817,2017-04-29,Stocks,2921987.25,0.0245,2993575.94
C01695,2017-06-03,Crypto,3101042.86,0.5682,4863055.41
C04785,2023-08-07,Stocks,1387628.53,0.0011,1389154.92
C04717,2016-07-13,Crypto,1767407.79,-0.5975,711381.64
C00049,2015-11-21,Real Estate,2918696.9,-0.8764,360750.94
C03195,2017-05-25,Mutual Funds,4069161.3,0.2612,5132026.23
C04474,2021-07-12,Bonds,3423971.13,0.451,4968182.11
C04000,2012-12-02,Real Estate,2091796.94,0.8183,3803514.38
C03571,2018-11-22,Stocks,4663709.69,0.0432,4865181.95
C03186,2015-07-16,Crypto,4052956.1,-0.0611,3805320.48
C01353,2018-06-25,Bonds,4936393.37,0.2277,6060410.14
C04376,2008-08-08,Crypto,1905073.39,-0.4687,1012165.49
C04849,2020-08-28,Stocks,4849602.07,0.2178,5905845.4
C00688,2022-06-01,Crypto,2343997.11,0.2194,2858270.08
C01112,2018-05-10,Bonds,2074682.69,0.0257,2128002.04
C00412,2013-11-01,Crypto,4323747.16,0.0523,4549879.14
C02682,2012-09-29,Crypto,4064692.14,0.8381,7471310.62
C02678,2015-07-27,Crypto,4723883.88,0.2362,5839665.25
C02280,2024-11-12,Crypto,4248387.31,-0.0765,3923385.68
C02067,2009-11-01,Crypto,646667.92,-0.7196,181325.68
C00159,2024-10-19,Mutual Funds,4770301.09,-0.6043,1887608.14
C00427,2015-11-06,Bonds,3358831.72,0.3477,4526697.51
C00563,2022-08-14,Stocks,3091023.07,-0.3339,2058930.47
C00255,2013-07-18,Bonds,3358194.4,-0.0719,3116740.22
C00167,2021-12-07,Bonds,2602018.2,0.1374,2959535.5
C01955,2010-10-31,Crypto,4261055.32,0.8556,7906814.25
C00938,2020-08-25,Bonds,2759982.29,0.5933,4397479.78
C03810,2023-09-09,Real Estate,2018010.85,0.163,2346946.62
C03022,2011-10-06,Mutual Funds,670942.13,0.8245,1224133.92
C04975,2024-10-10,Stocks,1065607.84,0.5189,1618551.75
C01342,2014-12-23,Stocks,682721.01,-0.7854,146511.93
C04741,2008-07-29,Real Estate,2187937.14,0.8022,3943100.31
C04717,2023-03-11,Crypto,4520889.31,0.1801,5335101.47
C03250,2024-01-14,Bonds,3918481.41,-1.0054,-21159.8
C00623,2021-04-12,Bonds,1983317.37,0.5708,3115394.92
C00835,2023-08-21,Real Estate,4747653.6,0.2454,5912727.79
C04919,2010-09-18,Mutual Funds,736220.33,0.0726,789669.93
C00337,2015-10-15,Mutual Funds,1291963.7,0.4782,1909780.74
C03510,2022-11-02,Real Estate,2296219.65,0.0769,2472798.94
C00565,2019-05-07,Real Estate,1644429.3,0.2816,2107500.59
C00104,2017-06-03,Crypto,3167370.87,0.0185,3225967.23
C00865,2017-09-21,Real Estate,645269.73,0.0423,672564.64
C03767,2023-11-12,Bonds,641101.15,-0.4706,339398.95
C03568,2011-12-13,Mutual Funds,1728990.75,0.3238,2288837.95
C02213,2021-10-24,Mutual Funds,4484045.26,1.1075,9450125.39
C03961,2018-06-05,Crypto,862427.04,-0.0797,793691.6
C04854,2014-01-07,Real Estate,962252.81,-0.3277,646922.56
C02012,2009-12-10,Real Estate,444423.97,-0.1995,355761.39
C03693,2013-06-20,Crypto,604058.72,-0.637,219273.32
C04669,2021-09-08,Crypto,1821985.04,-0.0158,1793197.68
C02756,2008-08-23,Crypto,2517582.94,0.029,2590592.85
C02663,2012-01-29,Crypto,3997252.58,0.1011,4401374.82
C01738,2015-12-16,Real Estate,3139874.05,0.5057,4727708.36
C02789,2014-04-09,Mutual Funds,3741550.19,-0.2302,2880245.34
C02264,2020-06-19,Stocks,923420.58,-0.1936,744646.36
C04233,2012-04-14,Stocks,2423130.4,-0.534,1129178.77
C01978,2024-02-24,Crypto,3091655.6,-0.2333,2370372.35
C04003,2020-06-14,Bonds,3737607.22,-1.0161,-60175.48
C03901,2022-06-27,Crypto,184379.33,0.5057,277619.96
C03672,2008-05-21,Stocks,4476138.98,-0.414,2623017.44
C02411,2012-12-20,Crypto,2558875.53,-0.4061,1519716.18
C01994,2014-11-13,Mutual Funds,2237614.42,0.1197,2505456.87
C03024,2018-08-12,Mutual Funds,2663553.72,-0.3253,1797099.69
C04350,2015-09-17,Crypto,1887043.53,-0.3723,1184497.22
C04509,2015-06-02,Real Estate,101335.92,-0.4506,55673.95
C03718,2014-01-28,Real Estate,1638159.26,-0.2472,1233206.29
C02060,2013-03-03,Stocks,599690.9,0.1891,713092.45
C01578,2015-01-28,Stocks,3395832.49,0.5353,5213621.62
C04390,2023-06-24,Bonds,3946067.02,-0.357,2537321.09
C01570,2012-11-07,Crypto,2685995.6,0.0784,2896577.66
C02266,2024-04-01,Mutual Funds,2934618.75,-0.1403,2522891.74
C04298,2021-05-20,Real Estate,638773.93,0.871,1195146.02
C00824,2012-05-09,Real Estate,1419595.75,0.7779,2523899.28
C01864,2016-02-04,Bonds,2854320.75,-0.5748,1213657.18
C02477,2008-04-25,Mutual Funds,1781127.53,0.0938,1948197.29
C01037,2014-02-25,Stocks,1186896.73,0.1437,1357453.79
C00447,2020-05-30,Real Estate,509810.58,-0.1491,433797.82
C01035,2022-04-22,Crypto,804246.18,-0.233,616856.82
C00841,2008-04-10,Mutual Funds,933648.55,-0.3343,621529.84
C02330,2018-07-12,Crypto,4483930.36,-0.1926,3620325.37
C03609,2015-08-23,Bonds,402088.49,-1.1714,-68917.97
C00421,2013-08-30,Crypto,4911910.71,0.4223,6986210.6
C00935,2009-06-19,Crypto,561082.47,0.2751,715436.26
C04029,2009-08-29,Mutual Funds,4327670.12,0.0375,4489957.75
C00440,2011-05-27,Bonds,4085543.28,-0.282,2933420.08
C04611,2014-10-25,Stocks,3343547.46,-0.1863,2720644.57
C02034,2010-08-28,Mutual Funds,4646950.57,1.1017,9766496.01
C03410,2021-08-06,Mutual Funds,1400615.49,0.8898,2646883.15
C01849,2019-09-20,Crypto,3847695.17,-0.2023,3069306.44
C03691,2017-12-05,Real Estate,2127756.76,-0.421,1231971.16
C04822,2017-08-13,Real Estate,2538544.28,-0.1493,2159539.62
C04659,2021-12-05,Stocks,3053489.59,-0.0734,2829363.45
C04995,2024-08-06,Stocks,1443864.14,-0.4896,736948.26
C01703,2022-01-11,Bonds,2406219.37,0.2139,2920909.69
C02168,2022-10-24,Stocks,2663414.57,0.0057,2678596.03
C01287,2013-05-18,Bonds,672938.97,-0.1237,589696.42
C04522,2009-09-06,Bonds,317811.48,-0.221,247575.14
C00022,2017-02-28,Crypto,3407832.11,0.4601,4975775.66
C04865,2018-07-16,Real Estate,3801379.07,-0.2817,2730530.59
C00268,2013-03-11,Real Estate,2059792.73,1.2969,4731137.92
C02317,2023-10-07,Crypto,1744992.46,0.1649,2032741.72
C00584,2023-06-02,Bonds,906984.1,0.1247,1020085.02
C02168,2022-01-07,Mutual Funds,333414.84,0.324,441441.25
C01621,2017-07-14,Stocks,4209302.06,0.8701,7871815.78
C04462,2013-01-15,Bonds,699722.11,-0.2173,547672.5
C02177,2011-03-11,Stocks,819116.06,0.3742,1125629.29
C00489,2011-09-21,Real Estate,822164.72,0.3517,1111320.05
C04875,2024-10-18,Mutual Funds,2615804.06,0.5975,4178746.99
C02365,2017-11-06,Stocks,1794793.59,-0.0551,1695900.46
C03840,2023-06-12,Real Estate,4083180.6,0.5538,6344446.02
C03298,2014-02-08,Mutual Funds,2196235.41,-0.2582,1629167.43
C04424,2019-01-28,Crypto,1507587.99,-1.0352,-53067.1
C00659,2021-05-31,Stocks,3738299.29,-0.7101,1083732.96
C03540,2024-06-22,Real Estate,4497973.29,0.088,4893794.94
C04946,2013-08-13,Stocks,1920072.22,0.5262,2930414.22
C00749,2013-02-18,Mutual Funds,3121565.74,0.1278,3520501.84
C04810,2008-06-18,Real Estate,585373.31,0.1626,680555.01
C04721,2008-11-25,Bonds,1675193.17,0.3645,2285801.08
C03855,2019-08-22,Crypto,697221.09,0.3347,930580.99
C02279,2012-01-26,Mutual Funds,2667772.0,0.7037,4545083.16
C03571,2022-03-28,Crypto,4469569.02,-0.1637,3737900.57
C00748,2018-07-17,Real Estate,1559298.62,0.2819,1998864.9
C03346,2015-06-23,Real Estate,1243197.21,0.8349,2281142.56
C00857,2011-08-10,Real Estate,4383951.42,0.281,5615841.77
C03373,2023-07-23,Crypto,1711066.66,0.7235,2949023.39
C02362,2022-11-10,Crypto,750437.22,-0.1423,643650.0
C04507,2008-10-27,Crypto,1147027.72,0.5619,1791542.6
C00722,2015-01-20,Real Estate,3206097.02,0.5668,5023312.81
C02649,2010-08-07,Crypto,3470048.27,-0.7361,915745.74
C04216,2008-01-10,Mutual Funds,1729134.27,0.2205,2110408.38
C03785,2017-04-08,Stocks,908806.99,0.1653,1059032.79
C01537,2019-08-18,Real Estate,2004856.23,0.4978,3002873.66
C04084,2022-01-10,Crypto,2310567.01,0.1703,2704056.57
C00423,2012-07-25,Real Estate,3057659.72,1.4018,7343887.12
C04500,2010-12-09,Real Estate,91532.81,0.9711,180420.32
C03590,2023-08-30,Crypto,4612574.41,0.3751,6342751.07
C00995,2008-08-24,Mutual Funds,3536485.93,0.2051,4261819.19
C01961,2023-12-02,Bonds,3033968.52,-0.4899,1547627.34
C02546,2020-05-09,Stocks,2121229.23,0.1719,2485868.53
C04525,2017-02-24,Stocks,4627917.0,0.13,5229546.21
C01841,2010-07-18,Crypto,2254746.02,1.3493,5297074.82
C00963,2022-07-12,Bonds,1995614.52,0.342,2678114.69
C04083,2024-01-27,Real Estate,274753.43,0.6155,443864.17
C04169,2023-10-27,Real Estate,24155.48,-0.2114,19049.01
C03404,2018-10-27,Crypto,1668162.36,0.5061,2512419.33
C01997,2018-03-30,Mutual Funds,4599358.23,-1.0804,-369788.4
C01185,2016-08-08,Bonds,1732383.63,0.7151,2971211.16
C04911,2019-05-26,Bonds,2261637.49,-0.3292,1517106.43
C00572,2014-03-13,Crypto,1123799.51,-0.4827,581341.49
C02785,2019-05-22,Real Estate,882758.55,0.0055,887613.72
C00022,2014-05-06,Real Estate,2492340.5,0.4822,3694147.09
C04809,2021-01-02,Crypto,1812607.1,0.0014,1815144.75
C01218,2018-01-06,Mutual Funds,2903361.16,-0.4286,1658980.57
C03968,2015-09-28,Real Estate,4805390.52,0.3383,6431054.13
C04522,2020-03-09,Crypto,744164.98,-0.3196,506329.85
C03731,2015-03-21,Bonds,4984374.38,-0.0023,4972910.32
C01957,2020-10-28,Crypto,2511472.86,-0.2588,1861503.68
C01914,2017-03-19,Stocks,3750052.39,0.1546,4329810.49
C02607,2024-09-13,Crypto,1050318.06,0.0226,1074055.25
C03124,2016-08-28,Bonds,954247.92,0.1575,1104541.97
C04058,2008-10-30,Bonds,183711.79,1.365,434478.38
C04115,2021-03-27,Real Estate,329477.49,-0.4736,173436.95
C00823,2017-11-15,Stocks,3877862.56,0.7743,6880491.54
C04309,2018-04-01,Stocks,2204372.97,-1.2497,-550431.93
C01181,2017-03-12,Bonds,2004414.54,-0.5088,984568.42
C00613,2018-07-13,Real Estate,910458.72,0.1819,1076071.16
C02774,2021-12-23,Crypto,4309066.32,0.0051,4331042.56
C00658,2015-05-15,Mutual Funds,1354452.62,0.3439,1820248.88
C03114,2015-02-07,Crypto,3220353.72,-0.1009,2895420.03
C04433,2008-10-21,Mutual Funds,781606.83,0.0452,816935.46
C00561,2013-04-07,Real Estate,3580145.17,0.0354,3706882.31
C01864,2024-09-30,Stocks,1110638.84,0.095,1216149.53
C03556,2010-03-17,Stocks,1156142.91,0.1294,1305747.8
C03635,2011-09-24,Real Estate,893544.77,0.0148,906769.23
C00238,2009-01-11,Real Estate,3264077.79,-0.0953,2953011.18
C00460,2014-07-31,Real Estate,1216617.78,-0.0346,1174522.8
C03071,2017-08-29,Bonds,3611612.39,0.1973,4324183.51
C02001,2019-11-30,Crypto,1986520.46,0.2064,2396538.28
C04637,2023-04-17,Bonds,3340757.6,-0.2486,2510245.26
C01393,2011-12-05,Stocks,4481782.76,-0.3887,2739713.8
C04993,2016-07-30,Mutual Funds,65996.62,-0.7549,16175.77
C01973,2019-02-28,Mutual Funds,4463465.88,0.9623,8758659.1
C01173,2013-03-17,Crypto,4087400.37,-0.5408,1876934.25
C02081,2018-04-22,Real Estate,1899082.35,-0.3282,1275803.52
C00077,2018-06-08,Real Estate,2951884.42,0.4582,4304437.86
C04478,2011-07-18,Stocks,2047648.85,-0.6265,764796.85
C03619,2015-10-01,Mutual Funds,2760683.86,-0.7967,561247.03
C02451,2022-05-01,Crypto,4742318.08,-0.1925,3829421.85
C02049,2018-03-31,Real Estate,3818265.37,0.5659,5979021.74
C01632,2016-08-17,Crypto,3999476.42,0.0645,4257442.65
C00874,2013-04-27,Crypto,2126642.31,1.1576,4588443.45
C04686,2016-01-19,Mutual Funds,1290180.54,0.4161,1827024.66
C02424,2023-09-07,Real Estate,697641.01,-0.5642,304031.95
C00180,2022-10-06,Crypto,1362264.33,0.1304,1539903.6
C02249,2008-03-07,Mutual Funds,92934.99,-0.7348,24646.36
C00402,2021-08-07,Crypto,2771335.83,0.3559,3757654.25
C02345,2013-02-28,Mutual Funds,3257450.52,-0.1546,2753848.67
C02887,2012-11-29,Bonds,55968.15,0.3435,75193.21
C02054,2023-03-15,Bonds,685291.26,0.8903,1295406.07
C00796,2022-01-27,Stocks,3325518.34,0.8652,6202756.81
C02531,2017-11-20,Stocks,877681.02,0.0009,878470.93
C04748,2016-03-07,Bonds,1916309.5,0.4833,2842461.88
C00739,2014-08-14,Real Estate,2595069.61,-0.094,2351133.07
C03404,2011-12-09,Bonds,3016157.4,0.1793,3556954.42
C01083,2020-02-05,Real Estate,1227500.2,-0.682,390345.06
C04349,2019-04-03,Real Estate,1779007.91,-0.3192,1211148.59
C01348,2013-10-06,Crypto,3595510.48,0.367,4915062.83
C02418,2024-09-28,Real Estate,2380775.96,-0.7968,483773.68
C00944,2018-07-03,Stocks,3318692.16,0.1277,3742489.15
